#Model	LDA	HTMM	HTSM	ASUM	JST
0	860.144	289.5	243.427	338.5637532	204.910444
1000	1028.29	312.932	361.325	637.0224012	403.935648
2000	1138.136	355.383	401.939	753.6504161	551.634742
3000	1230.758	370.489	418.751	817.2830799	643.280149
4000	1266.468	413.843	462.636	969.8107704	786.010649
5000	1342.278	445.548	493.257	1047.61794	864.53423
