#Model	LDA	HTMM	HTSM	ASUM	JST
0	1983.642	380.475	328.461	347.6958813	154.016265
1000	2359.598	415.905	457.92	655.8598945	333.895561
2000	2332.97	468.133	498.587	906.93506	419.927065
3000	2151.404	468.278	521.515	934.1606121	477.711419
4000	2104.847	487.035	533.007	955.4269562	526.059751
5000	2109.968	488.071	547.576	1039.480389	549.561469
